,Importance
prev_days_since,0.9637526465661288
prev_ROLLING_fieldGoalsAttempted,0.023828872292169963
prev_minutes,0.008370370027954661
prev_ROLLING_MIN,0.0028033221116222414
prev_ROLLING_points,0.0002342750762314127
prev_ROLLING_FG_PCT,0.00018883374109025415
prev_ROLLING_FG3A,0.0001825696888066804
prev_ROLLING_BLK,0.00014220825247489302
prev_ROLLING_DREB,0.0001184144764426214
prev_ROLLING_FG3M,8.7745155676922e-05
prev_ROLLING_AST,8.626599515550641e-05
prev_streak,7.529601818873878e-05
prev_ROLLING_TOV,6.95409631788536e-05
prev_ROLLING_FTA,5.963963487843706e-05
prev_ROLLING_reboundsTotal,0.0
prev_ts,0.0
prev_ROLLING_turnovers,0.0
prev_ROLLING_blocks,0.0
prev_ROLLING_steals,0.0
prev_usagePercentage,0.0
prev_ROLLING_fieldGoalsMade,0.0
prev_ROLLING_assists,0.0
prev_ROLLING_threePointersPercentage,0.0
prev_ROLLING_freeThrowsMade,0.0
prev_ROLLING_reboundsDefensive,0.0
prev_ROLLING_reboundsOffensive,0.0
prev_ROLLING_fieldGoalsPercentage,0.0
prev_ROLLING_freeThrowsPercentage,0.0
prev_ROLLING_threePointersMade,0.0
prev_ROLLING_freeThrowsAttempted,0.0
prev_ROLLING_threePointersAttempted,0.0
prev_ROLLING_foulsPersonal,0.0
prev_ROLLING_FGA,0.0
prev_ROLLING_plusMinusPoints,0.0
prev_ROLLING_PLUS_MINUS,0.0
prev_position_encoded,0.0
prev_ROLLING_avg_distance,0.0
prev_ROLLING_three_point_shots,0.0
prev_ROLLING_mid_range_shots,0.0
prev_ROLLING_paint_shots,0.0
prev_ROLLING_fg_pct,0.0
prev_ROLLING_total_makes,0.0
prev_ROLLING_total_shots,0.0
prev_ROLLING_PF,0.0
prev_ROLLING_PTS,0.0
prev_ROLLING_STL,0.0
prev_ROLLING_REB,0.0
prev_ROLLING_OREB,0.0
prev_ROLLING_FT_PCT,0.0
prev_ROLLING_FTM,0.0
prev_ROLLING_FG3_PCT,0.0
prev_avg_distance_clutch,0.0
prev_ROLLING_FGM,0.0
prev_efg,0.0
prev_three_point_shots_clutch,0.0
prev_fieldGoalsMade,0.0
prev_steals,0.0
prev_FGA,0.0
prev_FGM,0.0
prev_PTS,0.0
prev_MIN,0.0
prev_WL,0.0
prev_SEASON_ID,0.0
prev_plusMinusPoints,0.0
prev_points,0.0
prev_foulsPersonal,0.0
prev_turnovers,0.0
prev_blocks,0.0
prev_assists,0.0
prev_mid_range_shots_clutch,0.0
prev_reboundsTotal,0.0
prev_reboundsDefensive,0.0
prev_reboundsOffensive,0.0
prev_freeThrowsPercentage,0.0
prev_freeThrowsAttempted,0.0
prev_freeThrowsMade,0.0
prev_threePointersPercentage,0.0
prev_threePointersAttempted,0.0
prev_threePointersMade,0.0
prev_fieldGoalsPercentage,0.0
prev_fieldGoalsAttempted,0.0
prev_FG_PCT,0.0
prev_FG3M,0.0
prev_FG3A,0.0
prev_FG3_PCT,0.0
prev_paint_shots_clutch,0.0
prev_fg_pct_clutch,0.0
prev_total_makes_clutch,0.0
prev_total_shots_clutch,0.0
prev_avg_distance,0.0
prev_three_point_shots,0.0
prev_mid_range_shots,0.0
prev_paint_shots,0.0
prev_fg_pct,0.0
prev_total_makes,0.0
prev_total_shots,0.0
prev_PLUS_MINUS,0.0
prev_PF,0.0
prev_TOV,0.0
prev_BLK,0.0
prev_STL,0.0
prev_AST,0.0
prev_REB,0.0
prev_DREB,0.0
prev_OREB,0.0
prev_FT_PCT,0.0
prev_FTA,0.0
prev_FTM,0.0
prev_opposing_team_numeric,0.0
